filename	rus_size	usa_size	rus_sha256	usa_sha256	identical	first_diff	last_diff	changed_bytes	similarity_pct	classification
0TH2.BIN	535552	535552	c1cc4117870bc567386410aa2d4f1b5f03fb98a601be71bb3ae2155de1853c64	55b98b2a7b9850f77bbe8d4549ec84c48e359c2839e878ffea8f1b89e75093fa	FALSE	0	535367	504007	5.89%	EXECUTABLE_CHANGED
ARELE.BIN	62344	62344	7bdd82ae2290af28f82cadc5db1c3d1ce49b7ddb80a7e9239c75411df0d090f8	7bdd82ae2290af28f82cadc5db1c3d1ce49b7ddb80a7e9239c75411df0d090f8	TRUE	-1	-1	0	100.00%	IDENTICAL
BAW.BIN	72540	72540	5fe0d8afec78951e24088c1251bdd699c3f60df2a2ed94e17fecdba4b22e2f3c	5fe0d8afec78951e24088c1251bdd699c3f60df2a2ed94e17fecdba4b22e2f3c	TRUE	-1	-1	0	100.00%	IDENTICAL
BGM.BIN	673792	673792	c1d11d5386eaffbd4ca6443c3de615312a71cc678ba4d76c2c9d6035acf9a8f6	c1d11d5386eaffbd4ca6443c3de615312a71cc678ba4d76c2c9d6035acf9a8f6	TRUE	-1	-1	0	100.00%	IDENTICAL
BRAS.BIN	105180	105180	7bb24b3b569e362bd7c5edc9df67bdc6edda5b88dfd7e6947a777f62275c00f3	7bb24b3b569e362bd7c5edc9df67bdc6edda5b88dfd7e6947a777f62275c00f3	TRUE	-1	-1	0	100.00%	IDENTICAL
CDDA1	2048	2048	e5a00aa9991ac8a5ee3109844d84a55583bd20572ad3ffcd42792f3c36b183ad	e5a00aa9991ac8a5ee3109844d84a55583bd20572ad3ffcd42792f3c36b183ad	TRUE	-1	-1	0	100.00%	IDENTICAL
CHR.BIN	378880	370688	92155dad4736528828804b6e1235e5ce84f2a3d4465c871f04233d61df378149	bd88a0eb8cb4679ad1ad10b0aa5eca97a29d2afedc5de4ed11fe2804a99de0c6	FALSE	167984	378879	199528	47.34%	CONTAINER_STRUCTURE_CHANGED
CPK0.BIN	29484064	19814460	654653235c08b4cb8bc8afe962940e4473c080818a06247ce8a9da0cb686b821	1a0485a7f35b21a69ef18f893fa5b8e38b0bdbcfe14b9a3e5fdd050f4c1c2446	FALSE	6	29484063	29017662	1.58%	REGION_LOCALIZATION_CHANGED
CPK1.BIN	36248008	19691700	ca17ceacbfee43f3e295a23aa03cd69cfa6224b7e192509b1235e9d314a3aa49	6b158d84b30625e4f4374e78faf0b7389f30f60e682ff4cb66e2984830829887	FALSE	6	36248007	35984532	0.73%	REGION_LOCALIZATION_CHANGED
CPK2.BIN	30512196	20932052	65b57c5809e79b43057fcff95d2502bda6c9a68da69be5ad5ad636d76ae32923	adbd0e377886eda5c670b2c14882ec4096c395fd8c6b6d53f9f4941cf1e4a4c8	FALSE	6	30512195	29685839	2.71%	REGION_LOCALIZATION_CHANGED
