path	lba	size	sha256
0TH2.BIN	24	535552	c1cc4117870bc567386410aa2d4f1b5f03fb98a601be71bb3ae2155de1853c64
ARELE.BIN	286	62344	7bdd82ae2290af28f82cadc5db1c3d1ce49b7ddb80a7e9239c75411df0d090f8
BAW.BIN	317	72540	5fe0d8afec78951e24088c1251bdd699c3f60df2a2ed94e17fecdba4b22e2f3c
BGM.BIN	353	673792	c1d11d5386eaffbd4ca6443c3de615312a71cc678ba4d76c2c9d6035acf9a8f6
BRAS.BIN	682	105180	7bb24b3b569e362bd7c5edc9df67bdc6edda5b88dfd7e6947a777f62275c00f3
CDDA1.	734	2048	e5a00aa9991ac8a5ee3109844d84a55583bd20572ad3ffcd42792f3c36b183ad
CHR.BIN	735	378880	92155dad4736528828804b6e1235e5ce84f2a3d4465c871f04233d61df378149
CPK0.BIN	920	29484064	654653235c08b4cb8bc8afe962940e4473c080818a06247ce8a9da0cb686b821
CPK1.BIN	15317	36248008	ca17ceacbfee43f3e295a23aa03cd69cfa6224b7e192509b1235e9d314a3aa49
CPK2.BIN	33017	30512196	65b57c5809e79b43057fcff95d2502bda6c9a68da69be5ad5ad636d76ae32923
DIT.BIN	47916	63244	d553e31b2c76fc9f00fe72f422d401e04cdd34d2d85146ed6f08dc0432c16ab3
ED.BIN	47947	616480	a7d986f09f923d28cb4ae699235377ea5d23ce244b69a65c99e4595920276a47
EFREET.BIN	48249	130352	caa4bba0d2cf6192bde4fbc16a371e0b0fb7a65b8f923d85df1dba56a4cc3dc0
MAP.BIN	48313	4036608	88648a0830fb60ca752238d8dad422edbde40c1d91239e4d01aad28b32e64850
MONS.BIN	50284	1490944	b26e6bd4ab537bd5fbb6986b60faffa5f89f643b9d9a82897bb110a4f4ecb156
P0.BIN	51012	475636	5b0d456a4efa8ffac398ca0744a8eadff98dccef8d0769d0c031d7029e3872b6
P1.BIN	51245	497584	8a8640811ac3a64274972af7068068874c11ed031d258cbae6ee5fac053e46cc
P2.BIN	51488	432684	e034f9c08bf2107d33908c4239f06b4338a1add835801b39d96114bcd5a2f233
P3.BIN	51700	462184	bd579e3141ee493248887a7ff1b9c5408f67c813320fd15eedbfb17fa14aa371
P4.BIN	51926	2893	64c8986742e955d285a0fcb3751e632492a6518e2f48d5fab9f672cbfc21d677
SET00.BIN	51928	32768	54c1605370794d9ef84f24f3c3f9d8eccd9b547c912e5904dd4e5f19227893e0
SET01.BIN	51944	32768	33a5781afeac396459be438a6766da3b10c8185b955fce16cb74e1f012f457a2
SET02.BIN	51960	32768	314fc995a17bd2dfdd04362e76ced75a638f7565b8e4434770ea4e0216fdea4e
SET03.BIN	51976	32768	7564f43a460f136196b14e53dd09bb9aa44ffad5cefb9d7ed72983e3c3ebb08a
SET04.BIN	51992	32768	6b9603174268e5979f9eddf402fa66001bc257fab621066b23b508c3f7b83c68
SET05.BIN	52008	32768	e005468400cdc3b32311d1ee75cc1fb57202197dd1f656a8951b14bb97d95d5c
SET06.BIN	52024	32768	0bd204ce1619be980cc77055b18d1ed186fabe3c05365f63643229ae1e723328
SET07.BIN	52040	98304	bb6072222e19f8cb68934cbdb94e7d187c67680bb9e167524f85579ee6bc0af6
SHADE.BIN	52088	69844	7e7e6249e9e228acc302cfe5280815ebfbe7ae60c25fef9948b02bfce8485e3a
TH2.LOW	52123	149504	781396898191921b486be751163aea493ef9b1abcb55c0ab8698df9c69211224
TH2_ABST.TXT	52196	25	c29fb93301e1c99d1c1023894f322f8a1dcab655706b8f30d1e6269e43ead611
TH2_BIBL.TXT	52197	27	04a9ca64c6b8b9e05c5e25d55083035ca0a811c211ba3a08ff0067d7cec9dbff
TH2_CPYR.TXT	52198	79	31040ef5c937ed3bfc5a3d10c01d8f26156d9cca071d8d5ebd029ab20d62b74b
